wl:mh,wl:hot,region,type,count,throughput,avg,p50,p95,p99,pMax
50,10,us-east-1,write,23,0.3,10658.6,2415.9,51539.6,62277.0,62277.0
50,10,us-east-2,deadlock,345,3.8,39845.7,31138.5,90194.3,90194.3,90194.3
50,10,us-east-2,other,4,0.0,62813.9,47244.6,90194.3,90194.3,90194.3
50,10,us-east-2,write,16,0.2,16970.8,1677.7,66572.0,90194.3,90194.3
50,10,us-west-1,deadlock,1432,15.9,29130.6,26843.5,66572.0,73014.4,90194.3
50,10,us-west-1,too-old,10,0.1,21662.7,19327.4,73014.4,73014.4,73014.4
50,10,us-west-1,other,1,0.0,88046.8,90194.3,90194.3,90194.3,90194.3
50,10,us-west-1,write,24,0.3,20283.0,19327.4,57982.1,77309.4,77309.4
50,10,us-west-2,deadlock,566,6.3,41299.2,42949.7,85899.3,90194.3,90194.3
50,10,us-west-2,too-old,5,0.1,52344.9,68719.5,81604.4,81604.4,81604.4
50,10,us-west-2,other,3,0.0,43978.7,36507.2,90194.3,90194.3,90194.3
50,10,us-west-2,write,16,0.2,30702.2,12348.0,85899.3,90194.3,90194.3
50,10,eu-west-1,deadlock,316,3.5,52732.7,53687.1,85899.3,90194.3,90194.3
50,10,eu-west-1,too-old,4,0.0,59290.7,66572.0,90194.3,90194.3,90194.3
50,10,eu-west-1,other,1,0.0,52613.3,53687.1,53687.1,53687.1,53687.1
50,10,eu-west-1,write,15,0.2,44103.1,40802.2,90194.3,90194.3,90194.3
50,10,eu-west-2,deadlock,346,3.8,50337.2,53687.1,90194.3,90194.3,90194.3
50,10,eu-west-2,too-old,5,0.1,72370.2,81604.4,90194.3,90194.3,90194.3
50,10,eu-west-2,other,7,0.1,61721.0,81604.4,90194.3,90194.3,90194.3
50,10,eu-west-2,write,18,0.2,40647.5,24696.1,90194.3,90194.3,90194.3
100,1000000,us-east-1,write,186469,2071.7,720.5,805.3,973.1,1208.0,4160.7
100,1000000,us-east-2,write,187563,2083.9,716.8,738.2,1073.7,1275.1,4295.0
100,1000000,us-west-1,deadlock,1,0.0,1107.3,1140.9,1140.9,1140.9,1140.9
100,1000000,us-west-1,write,135551,1506.0,989.1,738.2,1744.8,2013.3,4295.0
100,1000000,us-west-2,write,137530,1528.0,975.4,872.4,1610.6,1879.0,4295.0
100,1000000,eu-west-1,deadlock,79,0.9,924.7,939.5,1208.0,1208.0,1543.5
100,1000000,eu-west-1,write,134693,1496.5,995.0,939.5,1610.6,1811.9,6174.0
100,1000000,eu-west-2,write,125198,1391.0,1070.5,1040.2,1744.8,2013.3,3892.3
100,100000,us-east-1,deadlock,7,0.1,848.4,805.3,1140.9,1140.9,1140.9
